,datetime,type,direction,high,low,Retested
0,2024-12-11 22:49:00,Fair Value Gap,bullish,1.05012,1.05006,False
1,2024-12-11 23:01:00,Fair Value Gap,bullish,1.05054,1.05044,False
2,2024-12-11 23:14:00,Fair Value Gap,bullish,1.05126,1.05096,False
3,2024-12-11 23:16:00,Fair Value Gap,bullish,1.05117,1.051,False
4,2024-12-11 23:19:00,Order Block,bullish,1.05082,1.05069,False
5,2024-12-11 23:24:00,Fair Value Gap,bearish,1.05145,1.05137,False
6,2024-12-11 23:26:00,Fair Value Gap,bearish,1.05141,1.05103,False
7,2024-12-11 23:31:00,Fair Value Gap,bearish,1.05067,1.05056,False
8,2024-12-11 23:34:00,Order Block,bearish,1.05056,1.05069,False
9,2024-12-11 23:41:00,Fair Value Gap,bullish,1.05069,1.05065,False
10,2024-12-11 23:43:00,Order Block,bullish,1.05091,1.05037,False
11,2024-12-11 23:48:00,Fair Value Gap,bearish,1.0505,1.05038,False
12,2024-12-11 23:52:00,Order Block,bearish,1.05065,1.05006,False
13,2024-12-11 23:54:00,Fair Value Gap,bullish,1.05048,1.05037,False
14,2024-12-11 23:56:00,Fair Value Gap,bullish,1.05056,1.05048,False
15,2024-12-11 23:58:00,Fair Value Gap,bearish,1.05056,1.05051,False
16,2024-12-12 00:06:00,Fair Value Gap,bullish,1.05081,1.05071,False
17,2024-12-12 00:19:00,Fair Value Gap,bullish,1.05079,1.0507,False
18,2024-12-12 00:21:00,Fair Value Gap,bullish,1.05097,1.05082,False
19,2024-12-12 00:24:00,Fair Value Gap,bullish,1.05114,1.05113,False
20,2024-12-12 00:26:00,Fair Value Gap,bullish,1.05128,1.05114,False
21,2024-12-12 00:27:00,Fair Value Gap,bullish,1.05143,1.05141,False
22,2024-12-12 00:28:00,Order Block,bullish,1.05161,1.05083,False
23,2024-12-12 00:33:00,Order Block,bearish,1.05214,1.0512,False
24,2024-12-12 00:34:00,Fair Value Gap,bullish,1.05174,1.05141,False
25,2024-12-12 00:36:00,Fair Value Gap,bullish,1.05196,1.0517,False
26,2024-12-12 00:39:00,Fair Value Gap,bearish,1.05207,1.05203,False
27,2024-12-12 00:42:00,Fair Value Gap,bullish,1.05251,1.05203,False
28,2024-12-12 00:43:00,Fair Value Gap,bullish,1.05268,1.05264,False
29,2024-12-12 00:44:00,Fair Value Gap,bullish,1.05323,1.05302,False
30,2024-12-12 00:46:00,Fair Value Gap,bullish,1.05341,1.0534,False
31,2024-12-12 00:48:00,Fair Value Gap,bearish,1.05341,1.05317,False
32,2024-12-12 00:48:00,Order Block,bullish,1.05373,1.05133,False
33,2024-12-12 00:52:00,Fair Value Gap,bearish,1.05262,1.05231,False
34,2024-12-12 00:56:00,Fair Value Gap,bullish,1.05244,1.05241,False
35,2024-12-12 01:08:00,Fair Value Gap,bearish,1.05222,1.05218,False
36,2024-12-12 01:14:00,Fair Value Gap,bullish,1.05177,1.05154,False
37,2024-12-12 01:19:00,Fair Value Gap,bearish,1.05148,1.05146,False
38,2024-12-12 01:31:00,Fair Value Gap,bearish,1.05063,1.05042,False
39,2024-12-12 01:33:00,Fair Value Gap,bullish,1.05047,1.05042,False
40,2024-12-12 01:36:00,Fair Value Gap,bearish,1.05047,1.0504,False
41,2024-12-12 01:48:00,Fair Value Gap,bearish,1.05032,1.05011,False
42,2024-12-12 01:52:00,Fair Value Gap,bullish,1.04987,1.04985,False
43,2024-12-12 02:01:00,Fair Value Gap,bearish,1.04986,1.04938,False
44,2024-12-12 02:03:00,Fair Value Gap,bullish,1.04968,1.04938,False
45,2024-12-12 02:03:00,Order Block,bearish,1.05031,1.04904,False
46,2024-12-12 02:12:00,Fair Value Gap,bullish,1.05027,1.05019,False
47,2024-12-12 02:13:00,Fair Value Gap,bullish,1.05044,1.05042,False
48,2024-12-12 02:22:00,Order Block,bullish,1.05082,1.05032,False
49,2024-12-12 02:27:00,Fair Value Gap,bearish,1.04994,1.04991,False
50,2024-12-12 02:32:00,Fair Value Gap,bearish,1.04955,1.04939,False
51,2024-12-12 02:33:00,Fair Value Gap,bearish,1.04926,1.04916,False
52,2024-12-12 02:51:00,Order Block,bearish,1.04928,1.04799,False
53,2024-12-12 02:54:00,Fair Value Gap,bullish,1.04888,1.04861,False
54,2024-12-12 03:11:00,Fair Value Gap,bullish,1.04948,1.04942,False
55,2024-12-12 03:13:00,Order Block,bullish,1.04969,1.04878,False
56,2024-12-12 03:16:00,Fair Value Gap,bearish,1.04955,1.04954,False
57,2024-12-12 03:18:00,Fair Value Gap,bearish,1.04921,1.04909,False
58,2024-12-12 03:23:00,Fair Value Gap,bearish,1.04888,1.04873,False
59,2024-12-12 03:26:00,Fair Value Gap,bullish,1.04877,1.04873,False
60,2024-12-12 03:26:00,Order Block,bearish,1.04915,1.04851,False
61,2024-12-12 03:27:00,Fair Value Gap,bullish,1.04891,1.04886,False
62,2024-12-12 03:34:00,Fair Value Gap,bullish,1.04938,1.04914,False
63,2024-12-12 03:36:00,Fair Value Gap,bullish,1.0496,1.04924,False
64,2024-12-12 03:41:00,Fair Value Gap,bullish,1.05032,1.05023,False
65,2024-12-12 03:56:00,Fair Value Gap,bearish,1.05098,1.05095,False
66,2024-12-12 04:01:00,Fair Value Gap,bullish,1.05089,1.05088,False
67,2024-12-12 04:02:00,Order Block,bullish,1.05112,1.05068,False
68,2024-12-12 04:07:00,Fair Value Gap,bearish,1.05086,1.05075,False
69,2024-12-12 04:17:00,Fair Value Gap,bearish,1.05009,1.05002,False
70,2024-12-12 04:26:00,Fair Value Gap,bearish,1.04958,1.0495,False
71,2024-12-12 04:49:00,Fair Value Gap,bearish,1.04928,1.04925,False
72,2024-12-12 04:53:00,Fair Value Gap,bearish,1.04905,1.04902,False
73,2024-12-12 04:54:00,Fair Value Gap,bearish,1.04887,1.04877,False
74,2024-12-12 04:56:00,Fair Value Gap,bearish,1.04878,1.04875,False
75,2024-12-12 04:58:00,Order Block,bearish,1.0496,1.04858,False
76,2024-12-12 04:59:00,Fair Value Gap,bullish,1.04896,1.04879,False
77,2024-12-12 05:01:00,Fair Value Gap,bullish,1.0491,1.04886,False
78,2024-12-12 05:02:00,Fair Value Gap,bullish,1.04951,1.04921,False
79,2024-12-12 05:09:00,Order Block,bullish,1.0499,1.04943,False
80,2024-12-12 05:39:00,Fair Value Gap,bearish,1.04968,1.04946,False
81,2024-12-12 05:41:00,Fair Value Gap,bearish,1.0496,1.04932,False
82,2024-12-12 05:48:00,Fair Value Gap,bearish,1.04899,1.04874,False
83,2024-12-12 05:53:00,Fair Value Gap,bearish,1.04851,1.0485,False
84,2024-12-12 06:04:00,Fair Value Gap,bearish,1.04851,1.0484,False
85,2024-12-12 06:06:00,Fair Value Gap,bearish,1.04834,1.04831,False
86,2024-12-12 06:07:00,Order Block,bearish,1.04878,1.04834,False
87,2024-12-12 06:09:00,Fair Value Gap,bullish,1.04845,1.04831,False
88,2024-12-12 06:24:00,Fair Value Gap,bullish,1.04873,1.04864,False
89,2024-12-12 06:26:00,Fair Value Gap,bullish,1.04876,1.04858,False
90,2024-12-12 06:59:00,Fair Value Gap,bullish,1.04918,1.04914,False
91,2024-12-12 07:01:00,Fair Value Gap,bullish,1.04924,1.04919,False
92,2024-12-12 07:07:00,Fair Value Gap,bearish,1.0493,1.04927,False
93,2024-12-12 07:24:00,Order Block,bullish,1.04952,1.04932,False
94,2024-12-12 07:43:00,Fair Value Gap,bearish,1.04929,1.04926,False
95,2024-12-12 07:47:00,Fair Value Gap,bullish,1.04928,1.04926,False
96,2024-12-12 07:56:00,Order Block,bearish,1.04943,1.04894,False
97,2024-12-12 07:57:00,Fair Value Gap,bullish,1.04924,1.04912,False
98,2024-12-12 08:01:00,Fair Value Gap,bullish,1.04944,1.0494,False
99,2024-12-12 08:09:00,Fair Value Gap,bearish,1.04952,1.04943,False
100,2024-12-12 10:46:00,Fair Value Gap,bullish,1.05041,1.05036,False
101,2024-12-12 11:03:00,Fair Value Gap,bullish,1.05065,1.05064,False
102,2024-12-12 11:09:00,Order Block,bullish,1.05091,1.05047,False
103,2024-12-12 11:26:00,Fair Value Gap,bearish,1.05049,1.05045,False
104,2024-12-12 11:56:00,Order Block,bearish,1.05066,1.05047,False
105,2024-12-12 11:59:00,Fair Value Gap,bullish,1.05057,1.05048,False
106,2024-12-12 12:22:00,Fair Value Gap,bullish,1.05075,1.05063,False
107,2024-12-12 12:23:00,Order Block,bullish,1.05062,1.0503,False
108,2024-12-12 12:31:00,Fair Value Gap,bearish,1.0507,1.0506,False
109,2024-12-12 13:08:00,Fair Value Gap,bearish,1.05055,1.05047,False
110,2024-12-12 13:16:00,Fair Value Gap,bearish,1.05045,1.05044,False
111,2024-12-12 13:52:00,Fair Value Gap,bearish,1.05037,1.05032,False
112,2024-12-12 14:14:00,Fair Value Gap,bullish,1.05029,1.05022,False
113,2024-12-12 14:14:00,Order Block,bearish,1.0504,1.05009,False
114,2024-12-12 14:16:00,Fair Value Gap,bullish,1.0503,1.05023,False
115,2024-12-12 14:29:00,Fair Value Gap,bullish,1.05079,1.05076,False
116,2024-12-12 14:34:00,Order Block,bullish,1.05068,1.05068,False
117,2024-12-12 14:36:00,Fair Value Gap,bearish,1.05075,1.05072,False
118,2024-12-12 14:49:00,Order Block,bearish,1.05062,1.05049,False
119,2024-12-12 15:04:00,Fair Value Gap,bullish,1.05056,1.05054,False
120,2024-12-12 15:06:00,Fair Value Gap,bullish,1.05059,1.05052,False
121,2024-12-12 15:29:00,Order Block,bullish,1.05093,1.05072,False
122,2024-12-12 15:29:00,Fair Value Gap,bearish,1.05081,1.0508,False
123,2024-12-12 15:36:00,Fair Value Gap,bearish,1.05066,1.05059,False
124,2024-12-12 15:41:00,Order Block,bearish,1.05081,1.05041,False
125,2024-12-12 15:48:00,Order Block,bullish,1.05064,1.05047,False
126,2024-12-12 15:51:00,Order Block,bearish,1.05062,1.05042,False
127,2024-12-12 15:54:00,Fair Value Gap,bullish,1.05066,1.05064,False
128,2024-12-12 15:56:00,Fair Value Gap,bullish,1.05075,1.05064,False
129,2024-12-12 15:59:00,Order Block,bullish,1.05096,1.05049,False
130,2024-12-12 16:31:00,Fair Value Gap,bearish,1.05059,1.05052,False
131,2024-12-12 16:33:00,Order Block,bearish,1.05069,1.05046,False
132,2024-12-12 16:34:00,Fair Value Gap,bullish,1.05061,1.05057,False
133,2024-12-12 16:36:00,Fair Value Gap,bullish,1.05069,1.05067,False
134,2024-12-12 16:38:00,Order Block,bullish,1.05083,1.05043,False
135,2024-12-12 16:43:00,Fair Value Gap,bearish,1.05056,1.05055,False
136,2024-12-12 16:44:00,Order Block,bearish,1.0507,1.05056,False
137,2024-12-12 16:52:00,Fair Value Gap,bearish,1.0506,1.05055,False
138,2024-12-12 17:08:00,Order Block,bullish,1.05075,1.05069,False
139,2024-12-12 17:12:00,Fair Value Gap,bearish,1.05066,1.05063,False
140,2024-12-12 17:14:00,Order Block,bearish,1.05082,1.05047,False
141,2024-12-12 17:54:00,Fair Value Gap,bullish,1.05114,1.051,False
142,2024-12-12 17:56:00,Fair Value Gap,bullish,1.05114,1.05108,False
143,2024-12-12 18:02:00,Fair Value Gap,bullish,1.05146,1.05143,False
144,2024-12-12 18:04:00,Fair Value Gap,bullish,1.05182,1.0518,False
145,2024-12-12 18:06:00,Fair Value Gap,bullish,1.05205,1.05189,False
146,2024-12-12 18:14:00,Fair Value Gap,bullish,1.05256,1.05254,False
147,2024-12-12 18:16:00,Fair Value Gap,bullish,1.05283,1.05259,False
148,2024-12-12 18:18:00,Order Block,bullish,1.05312,1.05218,False
149,2024-12-12 18:24:00,Fair Value Gap,bearish,1.05252,1.0525,False
150,2024-12-12 18:26:00,Fair Value Gap,bearish,1.05252,1.05251,False
151,2024-12-12 18:37:00,Fair Value Gap,bearish,1.05235,1.05233,False
152,2024-12-12 18:54:00,Fair Value Gap,bearish,1.0524,1.05208,False
153,2024-12-12 18:56:00,Fair Value Gap,bearish,1.05221,1.05215,False
154,2024-12-12 18:58:00,Fair Value Gap,bearish,1.05192,1.0519,False
