datetime,open,high,low,close
1974-12-30,1.31840,1.31840,1.31840,1.31840
1975-01-06,1.32730,1.32730,1.32730,1.32730
1975-01-13,1.32680,1.32680,1.32680,1.32680
1975-01-20,1.35430,1.35430,1.35430,1.35430
1975-01-27,1.34720,1.34720,1.34720,1.34720
1975-02-03,1.33740,1.33740,1.33740,1.33740
1975-02-10,1.35460,1.35460,1.35460,1.35460
1975-02-17,1.36410,1.36410,1.36410,1.36410
1975-02-24,1.38470,1.38470,1.38470,1.38470
1975-03-03,1.36150,1.36150,1.36150,1.36150
1975-03-10,1.36820,1.36820,1.36820,1.36820
1975-03-17,1.36860,1.36860,1.36860,1.36860
1975-03-24,1.35610,1.35610,1.35610,1.35610
1975-03-31,1.34550,1.34550,1.34550,1.34550
1975-04-07,1.34250,1.34250,1.34250,1.34250
1975-04-14,1.34590,1.34590,1.34590,1.34590
1975-04-21,1.34810,1.34810,1.34810,1.34810
1975-04-28,1.35040,1.35040,1.35040,1.35040
1975-05-05,1.36480,1.36480,1.36480,1.36480
1975-05-12,1.36430,1.36430,1.36430,1.36430
1975-05-19,1.37760,1.37760,1.37760,1.37760
1975-05-26,1.37080,1.37080,1.37080,1.37080
1975-06-02,1.37310,1.37310,1.37310,1.37310
1975-06-09,1.37570,1.37570,1.37570,1.37570
1975-06-16,1.37480,1.37480,1.37480,1.37480
1975-06-23,1.36630,1.36630,1.36630,1.36630
1975-06-30,1.34250,1.34250,1.34250,1.34250
1975-07-07,1.32430,1.32430,1.32430,1.32430
1975-07-14,1.29680,1.29680,1.29680,1.29680
1975-07-21,1.28160,1.28160,1.28160,1.28160
1975-07-28,1.26360,1.26360,1.26360,1.26360
1975-08-04,1.25960,1.25960,1.25960,1.25960
1975-08-11,1.26150,1.26150,1.26150,1.26150
1975-08-18,1.26450,1.26450,1.26450,1.26450
1975-08-25,1.25820,1.25820,1.25820,1.25820
1975-09-01,1.25630,1.25630,1.25630,1.25630
1975-09-08,1.25090,1.25090,1.25090,1.25090
1975-09-15,1.22990,1.22990,1.22990,1.22990
1975-09-22,1.21920,1.21920,1.21920,1.21920
1975-09-29,1.22900,1.22900,1.22900,1.22900
1975-10-06,1.25170,1.25170,1.25170,1.25170
1975-10-13,1.25660,1.25660,1.25660,1.25660
1975-10-20,1.26100,1.26100,1.26100,1.26100
1975-10-27,1.26360,1.26360,1.26360,1.26360
1975-11-03,1.25980,1.25980,1.25980,1.25980
1975-11-10,1.24860,1.24860,1.24860,1.24860
1975-11-17,1.24350,1.24350,1.24350,1.24350
1975-11-24,1.23460,1.23460,1.23460,1.23460
1975-12-01,1.23760,1.23760,1.23760,1.23760
1975-12-08,1.23290,1.23290,1.23290,1.23290
1975-12-15,1.23660,1.23660,1.23660,1.23660
1975-12-22,1.24040,1.24040,1.24040,1.24040
1975-12-29,1.23560,1.23560,1.23560,1.23560
1976-01-05,1.24070,1.24070,1.24070,1.24070
1976-01-12,1.23870,1.23870,1.23870,1.23870
1976-01-19,1.22520,1.22520,1.22520,1.22520
1976-01-26,1.22280,1.22280,1.22280,1.22280
1976-02-02,1.22620,1.22620,1.22620,1.22620
1976-02-09,1.22010,1.22010,1.22010,1.22010
1976-02-16,1.21420,1.21420,1.21420,1.21420
1976-02-23,1.21270,1.21270,1.21270,1.21270
1976-03-01,1.20220,1.20220,1.20220,1.20220
1976-03-08,1.19530,1.19530,1.19530,1.19530
1976-03-15,1.18680,1.18680,1.18680,1.18680
1976-03-22,1.18620,1.18620,1.18620,1.18620
1976-03-29,1.18690,1.18690,1.18690,1.18690
1976-04-05,1.18290,1.18290,1.18290,1.18290
1976-04-12,1.18320,1.18320,1.18320,1.18320
1976-04-19,1.18020,1.18020,1.18020,1.18020
1976-04-26,1.17980,1.17980,1.17980,1.17980
1976-05-03,1.18740,1.18740,1.18740,1.18740
1976-05-10,1.18150,1.18150,1.18150,1.18150
1976-05-17,1.17440,1.17440,1.17440,1.17440
1976-05-24,1.17190,1.17190,1.17190,1.17190
1976-05-31,1.17120,1.17120,1.17120,1.17120
1976-06-07,1.17290,1.17290,1.17290,1.17290
1976-06-14,1.17220,1.17220,1.17220,1.17220
1976-06-21,1.17330,1.17330,1.17330,1.17330
1976-06-28,1.17520,1.17520,1.17520,1.17520
1976-07-05,1.17330,1.17330,1.17330,1.17330
1976-07-12,1.16850,1.16850,1.16850,1.16850
1976-07-19,1.16650,1.16650,1.16650,1.16650
1976-07-26,1.17480,1.17480,1.17480,1.17480
1976-08-02,1.17320,1.17320,1.17320,1.17320
1976-08-09,1.17250,1.17250,1.17250,1.17250
1976-08-16,1.17690,1.17690,1.17690,1.17690
1976-08-23,1.17950,1.17950,1.17950,1.17950
1976-08-30,1.18120,1.18120,1.18120,1.18120
1976-09-06,1.18390,1.18390,1.18390,1.18390
1976-09-13,1.19290,1.19290,1.19290,1.19290
1976-09-20,1.19250,1.19250,1.19250,1.19250
1976-09-27,1.19330,1.19330,1.19330,1.19330
1976-10-04,1.20080,1.20080,1.20080,1.20080
1976-10-11,1.19700,1.19700,1.19700,1.19700
1976-10-18,1.19760,1.19760,1.19760,1.19760
1976-10-25,1.20390,1.20390,1.20390,1.20390
1976-11-01,1.19900,1.19900,1.19900,1.19900
1976-11-08,1.20110,1.20110,1.20110,1.20110
1976-11-15,1.19960,1.19960,1.19960,1.19960
1976-11-22,1.20380,1.20380,1.20380,1.20380
1976-11-29,1.20370,1.20370,1.20370,1.20370
1976-12-06,1.20710,1.20710,1.20710,1.20710
1976-12-13,1.21020,1.21020,1.21020,1.21020
1976-12-20,1.21390,1.21390,1.21390,1.21390
1976-12-27,1.21710,1.21710,1.21710,1.21710
1977-01-03,1.21480,1.21480,1.21480,1.21480
1977-01-10,1.20310,1.20310,1.20310,1.20310
1977-01-17,1.20120,1.20120,1.20120,1.20120
1977-01-24,1.19550,1.19550,1.19550,1.19550
1977-01-31,1.19570,1.19570,1.19570,1.19570
1977-02-07,1.19980,1.19980,1.19980,1.19980
1977-02-14,1.20180,1.20180,1.20180,1.20180
1977-02-21,1.20250,1.20250,1.20250,1.20250
1977-02-28,1.20130,1.20130,1.20130,1.20130
1977-03-07,1.19880,1.19880,1.19880,1.19880
1977-03-14,1.20060,1.20060,1.20060,1.20060
1977-03-21,1.20090,1.20090,1.20090,1.20090
1977-03-28,1.20090,1.20090,1.20090,1.20090
1977-04-04,1.20180,1.20180,1.20180,1.20180
1977-04-11,1.20630,1.20630,1.20630,1.20630
1977-04-18,1.20600,1.20600,1.20600,1.20600
1977-04-25,1.21180,1.21180,1.21180,1.21180
1977-05-02,1.21210,1.21210,1.21210,1.21210
1977-05-09,1.20900,1.20900,1.20900,1.20900
1977-05-16,1.20980,1.20980,1.20980,1.20980
1977-05-23,1.21010,1.21010,1.21010,1.21010
1977-05-30,1.21070,1.21070,1.21070,1.21070
1977-06-06,1.20980,1.20980,1.20980,1.20980
1977-06-13,1.20920,1.20920,1.20920,1.20920
1977-06-20,1.20900,1.20900,1.20900,1.20900
1977-06-27,1.21450,1.21450,1.21450,1.21450
1977-07-04,1.22470,1.22470,1.22470,1.22470
1977-07-11,1.21390,1.21390,1.21390,1.21390
1977-07-18,1.22430,1.22430,1.22430,1.22430
1977-07-25,1.21340,1.21340,1.21340,1.21340
1977-08-01,1.21480,1.21480,1.21480,1.21480
1977-08-08,1.20350,1.20350,1.20350,1.20350
1977-08-15,1.20340,1.20340,1.20340,1.20340
1977-08-22,1.20760,1.20760,1.20760,1.20760
1977-08-29,1.20500,1.20500,1.20500,1.20500
1977-09-05,1.20180,1.20180,1.20180,1.20180
1977-09-12,1.20020,1.20020,1.20020,1.20020
1977-09-19,1.20020,1.20020,1.20020,1.20020
1977-09-26,1.20740,1.20740,1.20740,1.20740
1977-10-03,1.21320,1.21320,1.21320,1.21320
1977-10-10,1.21830,1.21830,1.21830,1.21830
1977-10-17,1.21980,1.21980,1.21980,1.21980
1977-10-24,1.22290,1.22290,1.22290,1.22290
1977-10-31,1.22490,1.22490,1.22490,1.22490
1977-11-07,1.22430,1.22430,1.22430,1.22430
1977-11-14,1.22840,1.22840,1.22840,1.22840
1977-11-21,1.23660,1.23660,1.23660,1.23660
1977-11-28,1.23370,1.23370,1.23370,1.23370
1977-12-05,1.24500,1.24500,1.24500,1.24500
1977-12-12,1.26600,1.26600,1.26600,1.26600
1977-12-19,1.26360,1.26360,1.26360,1.26360
1977-12-26,1.28920,1.28920,1.28920,1.28920
1978-01-02,1.27570,1.27570,1.27570,1.27570
1978-01-09,1.27910,1.27910,1.27910,1.27910
1978-01-16,1.27940,1.27940,1.27940,1.27940
1978-01-23,1.28550,1.28550,1.28550,1.28550
1978-01-30,1.27620,1.27620,1.27620,1.27620
1978-02-06,1.27780,1.27780,1.27780,1.27780
1978-02-13,1.29670,1.29670,1.29670,1.29670
1978-02-20,1.31030,1.31030,1.31030,1.31030
1978-02-27,1.31320,1.31320,1.31320,1.31320
1978-03-06,1.29650,1.29650,1.29650,1.29650
1978-03-13,1.31320,1.31320,1.31320,1.31320
1978-03-20,1.31390,1.31390,1.31390,1.31390
1978-03-27,1.33230,1.33230,1.33230,1.33230
1978-04-03,1.33120,1.33120,1.33120,1.33120
1978-04-10,1.32490,1.32490,1.32490,1.32490
1978-04-17,1.29800,1.29800,1.29800,1.29800
1978-04-24,1.30260,1.30260,1.30260,1.30260
1978-05-01,1.30020,1.30020,1.30020,1.30020
1978-05-08,1.28270,1.28270,1.28270,1.28270
1978-05-15,1.28090,1.28090,1.28090,1.28090
1978-05-22,1.27840,1.27840,1.27840,1.27840
1978-05-29,1.29820,1.29820,1.29820,1.29820
